tax	DEPbarcode1	DEPbarcode2	DEPbarcode3	DEPbarcode4	ENRbarcode1	ENRbarcode2	ENRbarcode3	ENRbarcode4	NORMbarcode1	NORMbarcode2	NORMbarcode3	NORMbarcode4	total
Bacteria;Bacteria_none;Bacillota;Clostridia;Eubacteriales;Clostridiaceae;Clostridium;Clostridium bornimense	0	0	0	2	0	0	0	0	0	0	0	0	2
Bacteria;Bacteria_none;Bacillota;Bacilli;Bacillales;Bacillaceae;Peribacillus;Peribacillus frigoritolerans	0	0	0	0	0	1	0	0	0	0	0	1	2
Bacteria;Bacteria_none;Synergistota;Synergistia;Synergistales;Aminobacteriaceae;Aminobacterium;Aminobacterium colombiense	0	1	0	0	0	1	0	0	0	0	0	0	2
Bacteria;Bacteria_none;Bacteroidota;Flavobacteriia;Flavobacteriales;Weeksellaceae;Chryseobacterium;Chryseobacterium rhizoplanae	0	2	0	0	0	0	0	0	0	0	0	0	2
Bacteria;Bacteria_none;Bacillota;Tissierellia;Tissierellales;Peptoniphilaceae;Peptoniphilus;Peptoniphilus harei	0	0	0	0	0	0	0	2	0	0	0	0	2
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides faecium	0	0	0	0	2	0	0	0	0	0	0	0	2
Bacteria;Bacteria_none;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Polaribacter;Polaribacter reichenbachii	0	0	0	2	0	0	0	0	0	0	0	0	2
Bacteria;Bacteria_none;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Limosilactobacillus;Limosilactobacillus vaginalis	0	1	0	0	0	0	0	0	0	1	0	0	2
Eukaryota;Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Trichocomaceae;Talaromyces;Talaromyces rugulosus	0	1	0	0	0	0	1	0	0	0	0	0	2
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Hoylesella;Hoylesella enoeca	0	0	0	0	0	0	0	1	0	0	0	1	2
Bacteria;Bacteria_none;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;Lactobacillus acetotolerans	0	0	0	0	0	2	0	0	0	0	0	0	2
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Erwiniaceae;Buchnera;Buchnera aphidicola	0	0	0	0	1	0	0	0	0	0	0	1	2
Bacteria;Bacteria_none;Spirochaetota;Spirochaetia;Leptospirales;Leptospiraceae;Leptospira;Leptospira borgpetersenii	0	0	0	0	2	0	0	0	0	0	0	0	2
Bacteria;Bacteria_none;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus sp. oral taxon 431	0	0	0	0	0	0	1	0	0	0	1	0	2
